system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,1,mix_10W_90R,10000,123394.16,0.008104111,0.005727,0.020604,0.024654,0.003702,8.530737,0.0,96.525,0.0,831.35,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,1,mix_50W_50R,20000,95432.2,0.010478643,0.01348,0.017251,0.025283,0.002793,9.763871,0.0,96.525,0.0,831.35,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,1,mix_90W_10R,10000,34130.832,0.02929902,0.02647,0.038064,0.0493797,0.00426,8.554414,0.0,96.525,0.0,831.35,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,2,mix_10W_90R,20000,140972.31,0.013561105,0.006286,0.049658,0.063417,0.003702,29.436605,0.0,100.77666666666666,0.0,840.5333333333333,0.0,0.0,0.0,1024.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,2,mix_50W_50R,40000,40521.297,0.049227253,0.038902,0.060554,0.1081867,0.0028640002,45.37229,0.0,100.77666666666666,0.0,840.5333333333333,0.0,0.0,0.0,1024.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,2,mix_90W_10R,20000,22556.996,0.08771071,0.056293,0.084928,0.12522909,0.0056569995,32.97914,0.0,100.77666666666666,0.0,840.5333333333333,0.0,0.0,0.0,1024.0,3
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,4,mix_10W_90R,40000,76336.57,0.036319993,0.007683,0.08590505,0.1297709,0.003841,54.67541,0.0,101.03571428571429,0.0,923.6857142857143,0.0,0.0,0.0,1024.0,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,4,mix_50W_50R,80000,31781.854,0.12309871,0.078642,0.16378,0.2635878,0.0032819998,76.99726,0.0,101.03571428571429,0.0,923.6857142857143,0.0,0.0,0.0,1024.0,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,4,mix_90W_10R,40000,17255.463,0.2306652,0.144434,0.2190285,0.35284367,0.005587,45.53097,0.0,101.03571428571429,0.0,923.6857142857143,0.0,0.0,0.0,1024.0,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,8,mix_10W_90R,80000,65195.266,0.10021691,0.019136,0.253108,0.3884634,0.00426,84.84354,0.0,96.288,0.0,1067.3574,0.0,0.0,0.0,3072.0,20
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,8,mix_50W_50R,160000,21939.867,0.35653317,0.203241,0.457746,0.7859347,0.0037709996,88.19792,0.0,96.288,0.0,1067.3574,0.0,0.0,0.0,3072.0,20
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,0,8,mix_90W_10R,80000,11734.512,0.6723121,0.45593,0.725598,1.5510188,0.006146,57.558983,0.0,96.288,0.0,1067.3574,0.0,0.0,0.0,3072.0,20
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,1,delete,10000,31322.258,0.031926177,0.026191,0.03897645,0.058809802,0.018298,8.882748,0.0,86.52,0.0,707.3,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,1,insert,10000,29555.414,0.033834748,0.027658,0.043791,0.059157,0.017042,10.075454,0.0,95.73,0.0,704.4,0.0,0.0,0.0,0.0,1
