system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,1,mix_10W_90R,10000,106768.19,0.009366086,0.0048,0.024008997,0.0543491,0.0024449981,14.938857,0.0,80.155,0.0,3250.688,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,1,mix_50W_50R,20000,75143.28,0.01330791,0.012454002,0.027174499,0.06777538,0.0022950007,2.346453,0.0,80.155,0.0,3250.688,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,1,mix_90W_10R,10000,18526.043,0.05397807,0.042659998,0.099243,0.1387556,0.003576999,15.43092,0.0,80.155,0.0,3250.688,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,2,mix_10W_90R,20000,56245.086,0.033190865,0.01,0.135702,0.2330689,0.0036269994,29.429935,0.0,99.74000000000001,0.0,3307.1786666666667,0.0,0.0,0.0,1024.0,6
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,2,mix_50W_50R,40000,17550.697,0.11302848,0.089538,0.2191356,0.42524898,0.0024049988,49.15895,0.0,99.74000000000001,0.0,3307.1786666666667,0.0,0.0,0.0,1024.0,6
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,2,mix_90W_10R,20000,8177.679,0.24103035,0.173195,0.334415,0.48373482,0.0040880004,74.09912,0.0,99.74000000000001,0.0,3307.1786666666667,0.0,0.0,0.0,1024.0,6
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,4,mix_10W_90R,40000,18775.574,0.20631723,0.082925,0.55779654,0.87565964,0.004008001,53.382416,0.0,100.6595238095238,0.0,3386.806857142857,0.0,0.0,0.0,2048.0,21
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,4,mix_50W_50R,80000,8644.92,0.460725,0.322041,0.64630127,1.0225096,0.0024549991,73.52732,0.0,100.6595238095238,0.0,3386.806857142857,0.0,0.0,0.0,2048.0,21
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,4,mix_90W_10R,40000,5061.394,0.7780177,0.58625555,0.963005,1.3813242,0.005351001,41.784317,0.0,100.6595238095238,0.0,3386.806857142857,0.0,0.0,0.0,2048.0,21
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,8,mix_10W_90R,80000,12111.035,0.60739374,0.1563115,1.4665964,2.3381498,0.00507,80.80706,0.0,99.616,0.0,3543.2448000000004,0.0,0.0,0.0,5120.0,65
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,8,mix_50W_50R,160000,6172.0347,1.2567766,0.89966846,1.9431249,20.562716,0.002465,90.30744,0.0,99.616,0.0,3543.2448000000004,0.0,0.0,0.0,5120.0,65
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,0,8,mix_90W_10R,80000,3539.0403,2.183751,1.6670535,2.8935127,26.806309,0.008757001,51.903084,0.0,99.616,0.0,3543.2448000000004,0.0,0.0,0.0,5120.0,65
